Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
04.09.2017;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
05.09.2017;NS;08:15:00;SP4;SP;08:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
06.09.2017;NS;09:00:00;SP4;SP;09:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
07.09.2017;NS;09:45:00;SP4;SP;10:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
08.09.2017;NS;10:15:00;SP4;SP;10:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
11.09.2017;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
12.09.2017;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
13.09.2017;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
14.09.2017;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
15.09.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
16.09.2017;NS;08:00:00;SP4;SP;08:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
18.09.2017;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
19.09.2017;NS;08:15:00;SP4;SP;08:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
20.09.2017;NS;09:00:00;SP4;SP;09:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
21.09.2017;NS;09:45:00;SP4;SP;10:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
22.09.2017;NS;10:15:00;SP4;SP;10:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
23.09.2017;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
25.09.2017;NS;11:45:00;SP4;SP;12:25:00;1;Fahrplan 2017;0;1;0;0;0;;0;0;Banderole 1;0
26.09.2017;NS;06:15:00;SP4;SP;06:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
27.09.2017;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
28.09.2017;NS;05:00:00;SP4;SP;05:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
29.09.2017;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
02.10.2017;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
04.10.2017;NS;07:45:00;SP4;SP;08:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
05.10.2017;NS;08:30:00;SP4;SP;09:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
06.10.2017;NS;09:15:00;SP4;SP;09:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
09.10.2017;NS;11:15:00;SP4;SP;11:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
10.10.2017;NS;12:00:00;SP4;SP;12:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
11.10.2017;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
12.10.2017;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
13.10.2017;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
16.10.2017;NS;08:00:00;SP4;SP;08:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
17.10.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
18.10.2017;NS;07:45:00;SP4;SP;08:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
19.10.2017;NS;08:30:00;SP4;SP;09:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
20.10.2017;NS;09:15:00;SP4;SP;09:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
21.10.2017;NS;10:30:00;SP4;SP;11:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
23.10.2017;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
24.10.2017;NS;11:30:00;SP4;SP;12:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
25.10.2017;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
26.10.2017;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
27.10.2017;NS;06:30:00;SP4;SP;07:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
30.10.2017;NS;06:15:00;SP4;SP;06:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
31.10.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
