Verkehrstage;Starthafen;Abfahrt;SchSP1ff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
24.08.2023;SP;18:25:00;SP2;NS;19:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
25.08.2023;SP;07:25:00;SP2;NS;08:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
25.08.2023;SP;18:25:00;SP2;NS;19:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
26.08.2023;SP;07:25:00;SP2;NS;08:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
26.08.2023;SP;14:25:00;SP2;NS;15:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
27.08.2023;SP;09:00:00;SP2;NS;09:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
27.08.2023;SP;17:25:00;SP2;NS;18:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
28.08.2023;SP;09:25:00;SP2;NS;10:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
28.08.2023;SP;18:30:00;SP2;NS;19:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
29.08.2023;SP;09:25:00;SP2;NS;10:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
29.08.2023;SP;19:00:00;SP2;NS;19:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
30.08.2023;SP;08:00:00;SP2;NS;08:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
30.08.2023;SP;13:45:00;SP2;NS;14:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
31.08.2023;SP;09:00:00;SP2;NS;09:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
31.08.2023;SP;14:00:00;SP2;NS;14:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
01.09.2023;SP;10:00:00;SP2;NS;10:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
01.09.2023;SP;14:45:00;SP2;NS;15:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
02.09.2023;SP;10:25:00;SP2;NS;11:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
03.09.2023;SP;11:00:00;SP2;NS;11:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
04.09.2023;SP;17:00:00;SP2;NS;17:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
05.09.2023;SP;12:25:00;SP2;NS;13:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
07.09.2023;SP;07:25:00;SP2;NS;08:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
07.09.2023;SP;18:25:00;SP2;NS;19:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
08.09.2023;SP;07:25:00;SP2;NS;08:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
08.09.2023;SP;17:25:00;SP2;NS;18:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
09.09.2023;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
10.09.2023;SP;09:25:00;SP2;NS;10:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
11.09.2023;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
11.09.2023;SP;18:25:00;SP2;NS;19:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
12.09.2023;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
14.09.2023;SP;09:00:00;SP2;NS;09:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
15.09.2023;SP;09:00:00;SP2;NS;09:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
15.09.2023;SP;14:25:00;SP2;NS;15:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
16.09.2023;SP;10:00:00;SP2;NS;10:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
16.09.2023;SP;14:25:00;SP2;NS;15:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
26.09.2023;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
26.09.2023;SP;18:00:00;SP2;NS;18:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
27.09.2023;SP;19:00:00;SP2;NS;19:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
28.09.2023;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
28.09.2023;SP;14:00:00;SP2;NS;14:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
29.09.2023;SP;13:25:00;SP2;NS;14:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
30.09.2023;SP;09:25:00;SP2;NS;10:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
30.09.2023;SP;14:15:00;SP2;NS;14:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
01.10.2023;SP;10:00:00;SP2;NS;10:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
03.10.2023;SP;11:25:00;SP2;NS;12:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
04.10.2023;SP;12:00:00;SP2;NS;12:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
04.10.2023;SP;17:00:00;SP2;NS;17:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
05.10.2023;SP;12:25:00;SP2;NS;13:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
05.10.2023;SP;17:25:00;SP2;NS;18:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
06.10.2023;SP;12:25:00;SP2;NS;13:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
06.10.2023;SP;18:25:00;SP2;NS;19:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
07.10.2023;SP;13:25:00;SP2;NS;14:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
07.10.2023;SP;18:00:00;SP2;NS;18:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
08.10.2023;SP;07:25:00;SP2;NS;08:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
08.10.2023;SP;16:25:00;SP2;NS;17:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
09.10.2023;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
09.10.2023;SP;17:25:00;SP2;NS;18:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
10.10.2023;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
10.10.2023;SP;18:00:00;SP2;NS;18:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
10.10.2023;SP;18:25:00;SP2;NS;19:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
11.10.2023;SP;09:25:00;SP2;NS;10:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
11.10.2023;SP;19:10:00;SP2;NS;19:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
12.10.2023;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
13.10.2023;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
13.10.2023;SP;13:15:00;SP2;NS;13:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
14.10.2023;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
14.10.2023;SP;13:25:00;SP2;NS;14:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
15.10.2023;SP;09:25:00;SP2;NS;10:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
15.10.2023;SP;15:00:00;SP2;NS;15:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
18.10.2023;SP;10:25:00;SP2;NS;11:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
19.10.2023;SP;11:00:00;SP2;NS;11:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
19.10.2023;SP;16:25:00;SP2;NS;17:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
20.10.2023;SP;12:00:00;SP2;NS;12:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
20.10.2023;SP;17:00:00;SP2;NS;17:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
21.10.2023;SP;12:25:00;SP2;NS;13:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
22.10.2023;SP;13:00:00;SP2;NS;13:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
23.10.2023;SP;07:00:00;SP2;NS;07:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
23.10.2023;SP;16:25:00;SP2;NS;17:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
24.10.2023;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
24.10.2023;SP;16:25:00;SP2;NS;17:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
25.10.2023;SP;09:25:00;SP2;NS;10:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
25.10.2023;SP;17:25:00;SP2;NS;18:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
26.10.2023;SP;09:25:00;SP2;NS;10:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
26.10.2023;SP;18:45:00;SP2;NS;19:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
27.10.2023;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
27.10.2023;SP;13:25:00;SP2;NS;14:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
28.10.2023;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
28.10.2023;SP;13:00:00;SP2;NS;13:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
29.10.2023;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
29.10.2023;SP;13:00:00;SP2;NS;13:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;1;Banderole 1;0
30.10.2023;SP;13:25:00;SP2;NS;14:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
31.10.2023;SP;09:25:00;SP2;NS;10:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;1;Banderole 1;0
03.11.2023;SP;11:00:00;SP2;NS;11:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;1;Banderole 1;0
03.11.2023;SP;16:25:00;SP2;NS;17:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
04.11.2023;SP;11:25:00;SP2;NS;12:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
04.11.2023;SP;17:00:00;SP2;NS;17:40:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
05.11.2023;SP;14:25:00;SP2;NS;15:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
06.11.2023;SP;16:25:00;SP2;NS;17:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
07.11.2023;SP;17:25:00;SP2;NS;18:05:00;1;Fahrplan 2023;0;10;0;0;0;;0;1;Banderole 1;0
09.11.2023;SP;17:25:00;SP2;NS;18:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
11.11.2023;SP;10:25:00;SP2;NS;11:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
12.11.2023;SP;12:00:00;SP2;NS;12:40:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
17.11.2023;SP;15:00:00;SP2;NS;15:40:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
16.12.2023;SP;15:00:00;SP2;NS;15:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;1;Banderole 1;0
17.12.2023;SP;13:25:00;SP2;NS;14:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
18.12.2023;SP;17:00:00;SP2;NS;17:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;1;Banderole 1;0
21.12.2023;SP;16:25:00;SP2;NS;17:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
22.12.2023;SP;16:25:00;SP2;NS;17:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
23.12.2023;SP;09:00:00;SP2;NS;09:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;1;Banderole 1;0
23.12.2023;SP;16:25:00;SP2;NS;17:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
26.12.2023;SP;09:25:00;SP2;NS;10:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
26.12.2023;SP;12:10:00;SP2;NS;12:50:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
27.12.2023;SP;08:00:00;SP2;NS;08:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;1;Banderole 1;0
27.12.2023;SP;13:00:00;SP2;NS;13:40:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
28.12.2023;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;10;0;0;0;;0;1;Banderole 1;0
28.12.2023;SP;13:25:00;SP2;NS;14:05:00;1;Fahrplan 2023;0;10;0;0;0;;0;1;Banderole 1;0
29.12.2023;SP;09:25:00;SP2;NS;10:05:00;1;Fahrplan 2023;0;10;0;0;0;;0;1;Banderole 1;0
29.12.2023;SP;14:25:00;SP2;NS;15:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
30.12.2023;SP;10:00:00;SP2;NS;10:40:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
30.12.2023;SP;15:00:00;SP2;NS;15:40:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
31.12.2023;SP;10:25:00;SP2;NS;11:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
01.01.2024;SP;10:45:00;SP2;NS;11:25:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
01.01.2024;SP;13:25:00;SP2;NS;14:05:00;1;Fahrplan 2023;0;10;0;0;0;;0;1;Banderole 1;0
01.01.2024;SP;16:15:00;SP2;NS;16:55:00;1;Fahrplan 2023;0;10;0;0;0;;0;1;Banderole 1;0
02.01.2024;SP;11:25:00;SP2;NS;12:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
02.01.2024;SP;17:00:00;SP2;NS;17:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;1;Banderole 1;0
03.01.2024;SP;17:25:00;SP2;NS;18:05:00;1;Fahrplan 2023;0;10;0;0;0;;0;1;Banderole 1;0
04.01.2024;SP;17:25:00;SP2;NS;18:05:00;1;Fahrplan 2023;0;10;0;0;0;;0;1;Banderole 1;0
05.01.2024;SP;16:25:00;SP2;NS;17:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
06.01.2024;SP;08:25:00;SP2;NS;09:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
06.01.2024;SP;16:25:00;SP2;NS;17:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
07.01.2024;SP;16:25:00;SP2;NS;17:05:00;1;Fahrplan 2023;0;10;1;1;1;;1;1;Banderole 1;0
