Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
30.07.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
30.07.2019;NS;20:20:00;SP2;SP;21:00:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
31.07.2019;NS;09:30:00;SP2;SP;10:10:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
31.07.2019;NS;21:00:00;SP2;SP;21:40:00;1;Fahrplan 2019;0;1;0;0;0;;0;0;Banderole 1;0
01.08.2019;NS;10:00:00;SP2;SP;10:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
01.08.2019;NS;15:00:00;SP2;SP;15:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
02.08.2019;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
02.08.2019;NS;16:00:00;SP2;SP;16:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
03.08.2019;NS;11:45:00;SP2;SP;12:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
04.08.2019;NS;17:40:00;SP2;SP;18:20:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
05.08.2019;NS;13:00:00;SP2;SP;13:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
06.08.2019;NS;13:45:00;SP2;SP;14:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
08.08.2019;NS;08:30:00;SP2;SP;09:10:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
08.08.2019;NS;19:45:00;SP2;SP;20:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
09.08.2019;NS;08:45:00;SP2;SP;09:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
09.08.2019;NS;19:45:00;SP2;SP;20:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
10.08.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
10.08.2019;NS;18:15:00;SP2;SP;18:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
11.08.2019;NS;11:00:00;SP2;SP;11:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
11.08.2019;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
12.08.2019;NS;09:40:00;SP2;SP;10:20:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
12.08.2019;NS;20:00:00;SP2;SP;20:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
13.08.2019;NS;10:40:00;SP2;SP;11:20:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
13.08.2019;NS;20:45:00;SP2;SP;21:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
14.08.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
15.08.2019;NS;10:00:00;SP2;SP;10:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
15.08.2019;NS;15:15:00;SP2;SP;15:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
16.08.2019;NS;15:45:00;SP2;SP;16:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
17.08.2019;NS;11:15:00;SP2;SP;11:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
17.08.2019;NS;16:30:00;SP2;SP;17:10:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
18.08.2019;NS;17:00:00;SP2;SP;17:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
19.08.2019;NS;12:15:00;SP2;SP;12:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
19.08.2019;NS;17:30:00;SP2;SP;18:10:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
20.08.2019;NS;12:45:00;SP2;SP;13:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
22.08.2019;NS;14:00:00;SP2;SP;14:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
23.08.2019;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
24.08.2019;NS;08:10:00;SP2;SP;08:50:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
24.08.2019;NS;14:45:00;SP2;SP;15:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
24.08.2019;NS;19:45:00;SP2;SP;20:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
25.08.2019;NS;09:00:00;SP2;SP;09:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
25.08.2019;NS;16:00:00;SP2;SP;16:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
26.08.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
26.08.2019;NS;20:00:00;SP2;SP;20:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
27.08.2019;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
27.08.2019;NS;19:45:00;SP2;SP;20:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
28.08.2019;NS;20:00:00;SP2;SP;20:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
29.08.2019;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
29.08.2019;NS;20:00:00;SP2;SP;20:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
