validdate;t_2m:C;precip_1h:mm;effective_cloud_cover:octas;wind_speed_10m:ms;wind_dir_10m:d
2020-01-01T00:00:00Z;4.1;0.00;4;3.4;230.4
2020-01-01T01:00:00Z;3.7;0.00;6;3.4;228.6
2020-01-01T02:00:00Z;3.5;0.00;5;3.7;225.7
2020-01-01T03:00:00Z;3.4;0.00;5;3.5;225.4
2020-01-01T04:00:00Z;3.1;0.00;4;3.4;223.8
2020-01-01T05:00:00Z;2.4;0.00;4;4.2;225.5
2020-01-01T06:00:00Z;2.3;0.00;8;4.7;229.1
2020-01-01T07:00:00Z;1.9;0.00;8;4.7;219.2
2020-01-01T08:00:00Z;2.4;0.00;8;4.7;217.8
2020-01-01T09:00:00Z;2.6;0.00;8;4.9;213.0
2020-01-01T10:00:00Z;2.6;0.00;7;4.7;204.5
2020-01-01T11:00:00Z;2.6;0.00;8;4.7;194.2
2020-01-01T12:00:00Z;2.8;0.00;8;4.9;196.6
2020-01-01T13:00:00Z;2.0;0.00;8;5.3;200.8
2020-01-01T14:00:00Z;2.1;0.00;8;5.4;198.4
2020-01-01T15:00:00Z;2.0;0.00;7;5.7;197.5
2020-01-01T16:00:00Z;1.2;0.00;6;5.2;202.5
2020-01-01T17:00:00Z;0.4;0.00;6;5.6;208.4
2020-01-01T18:00:00Z;-0.1;0.00;7;6.4;209.3
2020-01-01T19:00:00Z;-0.6;0.00;8;7.0;211.2
2020-01-01T20:00:00Z;-0.1;0.00;7;6.9;226.9
2020-01-01T21:00:00Z;-0.1;0.00;7;6.3;238.9
2020-01-01T22:00:00Z;-0.1;0.00;8;5.9;237.8
2020-01-01T23:00:00Z;-0.1;0.00;8;5.7;236.2
2020-01-02T00:00:00Z;-0.1;0.00;8;5.7;225.0
2020-01-02T01:00:00Z;-0.4;0.00;8;6.3;214.3
2020-01-02T02:00:00Z;-0.2;0.00;8;7.3;215.0
2020-01-02T03:00:00Z;0.0;0.00;8;7.2;219.6
2020-01-02T04:00:00Z;0.3;0.00;8;7.4;222.6
2020-01-02T05:00:00Z;0.5;0.00;8;7.5;221.2
2020-01-02T06:00:00Z;0.8;0.00;8;7.6;219.5
2020-01-02T07:00:00Z;0.5;0.00;8;7.3;218.2
2020-01-02T08:00:00Z;0.7;0.00;8;7.6;222.5
2020-01-02T09:00:00Z;0.7;0.00;8;7.0;219.5
2020-01-02T10:00:00Z;1.1;0.00;8;6.9;205.8
2020-01-02T11:00:00Z;1.5;0.00;8;7.9;206.6
2020-01-02T12:00:00Z;2.1;0.00;8;8.0;210.7
2020-01-02T13:00:00Z;1.8;0.00;8;7.3;201.4
2020-01-02T14:00:00Z;2.1;0.00;8;7.9;196.6
2020-01-02T15:00:00Z;2.4;0.00;8;8.2;195.4
2020-01-02T16:00:00Z;2.2;0.00;8;9.4;197.8
2020-01-02T17:00:00Z;2.3;0.00;8;9.5;202.8
2020-01-02T18:00:00Z;2.8;0.00;8;8.8;204.8
2020-01-02T19:00:00Z;2.9;0.00;8;8.5;198.6
2020-01-02T20:00:00Z;3.4;0.00;8;8.7;202.2
2020-01-02T21:00:00Z;3.8;0.00;8;8.8;204.2
2020-01-02T22:00:00Z;4.1;0.00;8;8.9;203.9
2020-01-02T23:00:00Z;4.5;0.00;8;9.7;205.9
2020-01-03T00:00:00Z;4.6;0.00;8;9.6;203.3
2020-01-03T01:00:00Z;5.2;0.00;8;9.4;203.4
2020-01-03T02:00:00Z;5.7;0.00;8;9.5;208.0
2020-01-03T03:00:00Z;6.2;0.00;8;9.7;213.3
2020-01-03T04:00:00Z;7.1;0.00;8;10.0;218.4
2020-01-03T05:00:00Z;7.3;0.00;8;10.1;220.5
2020-01-03T06:00:00Z;7.5;0.00;8;10.1;223.0
2020-01-03T07:00:00Z;7.5;0.00;8;9.5;223.9
2020-01-03T08:00:00Z;7.4;0.18;8;9.3;224.1
2020-01-03T09:00:00Z;7.4;0.02;8;8.7;225.2
2020-01-03T10:00:00Z;7.4;0.05;8;8.2;227.8
2020-01-03T11:00:00Z;7.4;0.23;8;8.2;232.5
2020-01-03T12:00:00Z;7.5;2.12;8;7.7;238.1
2020-01-03T13:00:00Z;7.1;1.89;8;6.6;253.7
2020-01-03T14:00:00Z;6.9;1.14;8;6.4;283.2
2020-01-03T15:00:00Z;6.8;0.57;8;9.8;354.2
2020-01-03T16:00:00Z;6.5;0.35;8;6.8;345.0
2020-01-03T17:00:00Z;6.2;0.00;6;8.7;329.0
2020-01-03T18:00:00Z;5.8;0.02;2;8.2;317.0
2020-01-03T19:00:00Z;5.7;0.00;1;8.5;303.2
2020-01-03T20:00:00Z;5.9;0.01;4;9.4;299.2
2020-01-03T21:00:00Z;5.7;0.07;3;9.5;296.9
2020-01-03T22:00:00Z;5.6;0.01;1;9.5;288.1
2020-01-03T23:00:00Z;5.5;0.00;0;9.9;279.2
2020-01-04T00:00:00Z;5.6;0.00;4;10.0;272.6
2020-01-04T01:00:00Z;5.7;0.00;5;10.1;268.9
2020-01-04T02:00:00Z;6.3;0.00;7;11.0;271.1
2020-01-04T03:00:00Z;6.4;0.00;7;11.9;273.2
2020-01-04T04:00:00Z;6.1;0.00;7;12.3;272.8
2020-01-04T05:00:00Z;5.9;0.00;5;12.6;270.8
2020-01-04T06:00:00Z;6.4;0.00;8;13.0;272.0
2020-01-04T07:00:00Z;6.7;0.00;8;13.0;275.0
2020-01-04T08:00:00Z;7.0;0.00;8;13.0;277.1
2020-01-04T09:00:00Z;7.3;0.00;8;13.3;277.2
2020-01-04T10:00:00Z;7.5;0.00;7;13.6;287.3
2020-01-04T11:00:00Z;7.3;0.22;8;14.5;302.8
2020-01-04T12:00:00Z;6.4;0.81;7;10.8;319.6
2020-01-04T13:00:00Z;6.6;0.10;8;9.9;313.8
2020-01-04T14:00:00Z;6.8;0.00;3;10.0;313.6
2020-01-04T15:00:00Z;6.5;0.00;1;10.2;320.8
2020-01-04T16:00:00Z;5.6;0.00;1;8.8;324.8
2020-01-04T17:00:00Z;5.4;0.00;4;8.0;322.7
2020-01-04T18:00:00Z;5.5;0.00;5;7.7;331.4
2020-01-04T19:00:00Z;5.5;0.00;5;7.6;317.4
2020-01-04T20:00:00Z;5.6;0.00;6;7.0;323.3
2020-01-04T21:00:00Z;5.3;0.00;3;6.2;333.9
2020-01-04T22:00:00Z;4.9;0.00;2;4.9;317.7
2020-01-04T23:00:00Z;5.0;0.00;5;4.5;297.4
2020-01-05T00:00:00Z;5.1;0.08;6;3.6;289.2
2020-01-05T01:00:00Z;4.8;0.05;8;2.3;275.4
2020-01-05T02:00:00Z;4.4;0.00;8;3.1;212.5
2020-01-05T03:00:00Z;4.0;0.00;8;4.0;207.2
2020-01-05T04:00:00Z;4.4;0.00;8;4.7;221.3
2020-01-05T05:00:00Z;4.4;0.00;8;5.0;221.2
2020-01-05T06:00:00Z;4.3;0.00;8;5.1;216.8
2020-01-05T07:00:00Z;4.2;0.00;8;5.2;208.2
2020-01-05T08:00:00Z;4.8;0.00;8;5.6;210.1
2020-01-05T09:00:00Z;5.3;0.00;8;5.7;213.6
2020-01-05T10:00:00Z;6.0;0.00;8;6.1;218.9
2020-01-05T11:00:00Z;6.4;0.00;8;6.9;226.3
2020-01-05T12:00:00Z;6.7;0.00;8;7.4;235.6
2020-01-05T13:00:00Z;6.5;0.00;7;7.8;237.2
2020-01-05T14:00:00Z;6.4;0.00;8;7.3;233.5
2020-01-05T15:00:00Z;6.4;0.00;7;7.4;233.3
2020-01-05T16:00:00Z;5.8;0.00;5;7.5;235.1
2020-01-05T17:00:00Z;5.1;0.00;4;7.4;230.2
2020-01-05T18:00:00Z;5.0;0.00;5;7.2;227.6
2020-01-05T19:00:00Z;4.9;0.00;5;7.3;227.2
2020-01-05T20:00:00Z;4.9;0.00;7;7.5;222.6
2020-01-05T21:00:00Z;5.0;0.00;8;7.9;226.0
2020-01-05T22:00:00Z;5.1;0.00;8;7.8;226.8
2020-01-05T23:00:00Z;5.1;0.00;8;7.6;226.5
2020-01-06T00:00:00Z;5.2;0.00;8;7.6;224.3
2020-01-06T01:00:00Z;5.2;0.00;8;7.6;223.7
2020-01-06T02:00:00Z;5.2;0.00;8;7.8;226.9
2020-01-06T03:00:00Z;5.2;0.00;8;8.1;230.1
2020-01-06T04:00:00Z;5.2;0.00;8;7.6;229.8
2020-01-06T05:00:00Z;5.0;0.00;6;7.2;226.1
2020-01-06T06:00:00Z;4.7;0.00;6;7.0;219.5
2020-01-06T07:00:00Z;5.3;0.00;8;6.9;218.2
2020-01-06T08:00:00Z;5.7;0.00;8;6.5;212.1
2020-01-06T09:00:00Z;5.9;0.00;7;6.6;212.9
2020-01-06T10:00:00Z;6.2;0.00;7;6.9;214.5
2020-01-06T11:00:00Z;6.4;0.00;6;6.9;213.3
2020-01-06T12:00:00Z;6.4;0.00;7;6.2;207.2
2020-01-06T13:00:00Z;6.3;0.00;8;6.0;202.3
2020-01-06T14:00:00Z;6.3;0.00;8;6.8;199.1
2020-01-06T15:00:00Z;5.9;0.00;7;6.9;199.4
2020-01-06T16:00:00Z;4.9;0.00;4;7.1;190.4
2020-01-06T17:00:00Z;3.7;0.00;3;6.9;188.4
2020-01-06T18:00:00Z;3.2;0.00;3;6.5;189.1
2020-01-06T19:00:00Z;2.9;0.00;3;6.9;183.8
2020-01-06T20:00:00Z;2.7;0.00;4;6.7;187.8
2020-01-06T21:00:00Z;3.2;0.00;7;6.8;203.5
2020-01-06T22:00:00Z;3.3;0.00;6;6.8;214.6
2020-01-06T23:00:00Z;3.8;0.00;7;7.2;224.9
2020-01-07T00:00:00Z;4.7;0.00;8;7.4;229.7
2020-01-07T01:00:00Z;5.0;0.01;8;8.1;231.9
2020-01-07T02:00:00Z;5.2;0.03;8;8.2;238.6
2020-01-07T03:00:00Z;5.7;0.00;8;7.8;240.9
2020-01-07T04:00:00Z;5.7;0.00;5;7.8;249.8
2020-01-07T05:00:00Z;5.4;0.00;2;7.8;256.2
2020-01-07T06:00:00Z;5.2;0.00;1;7.6;258.7
2020-01-07T07:00:00Z;5.5;0.00;1;7.3;257.1
2020-01-07T08:00:00Z;6.1;0.00;0;6.9;254.8
2020-01-07T09:00:00Z;6.2;0.00;0;6.3;239.7
2020-01-07T10:00:00Z;6.3;0.00;0;6.5;228.7
2020-01-07T11:00:00Z;6.6;0.00;0;7.0;224.7
2020-01-07T12:00:00Z;7.0;0.00;1;7.6;224.1
2020-01-07T13:00:00Z;6.8;0.00;5;7.2;215.1
2020-01-07T14:00:00Z;6.8;0.00;4;7.5;209.0
2020-01-07T15:00:00Z;6.5;0.00;5;8.3;205.3
2020-01-07T16:00:00Z;5.8;0.00;5;8.7;204.1
2020-01-07T17:00:00Z;5.4;0.00;6;9.1;205.1
2020-01-07T18:00:00Z;5.3;0.00;7;9.5;205.5
2020-01-07T19:00:00Z;5.9;0.04;7;10.2;204.7
2020-01-07T20:00:00Z;5.8;0.11;7;10.0;207.3
2020-01-07T21:00:00Z;6.0;0.16;6;10.8;204.0
2020-01-07T22:00:00Z;6.1;0.40;7;11.2;206.2
2020-01-07T23:00:00Z;6.0;0.18;7;11.6;210.7
2020-01-08T00:00:00Z;6.1;0.01;7;12.0;210.2
2020-01-08T01:00:00Z;6.7;0.01;8;11.7;213.6
2020-01-08T02:00:00Z;6.7;0.00;8;11.3;217.4
2020-01-08T03:00:00Z;7.4;0.00;8;11.1;222.1
2020-01-08T04:00:00Z;7.9;0.57;8;11.0;226.4
2020-01-08T05:00:00Z;8.3;0.22;8;10.6;229.4
2020-01-08T06:00:00Z;8.3;0.00;8;10.0;235.3
2020-01-08T07:00:00Z;8.5;0.03;8;9.6;237.7
2020-01-08T08:00:00Z;8.7;0.00;8;8.5;236.2
2020-01-08T09:00:00Z;8.7;0.00;8;9.8;244.2
2020-01-08T10:00:00Z;8.6;0.00;8;9.3;248.6
2020-01-08T11:00:00Z;8.4;0.00;8;9.1;250.8
2020-01-08T12:00:00Z;8.4;0.01;8;8.5;251.9
2020-01-08T13:00:00Z;7.8;0.00;8;7.8;255.4
2020-01-08T14:00:00Z;7.8;0.00;8;7.2;253.4
2020-01-08T15:00:00Z;7.5;0.00;8;6.5;259.0
2020-01-08T16:00:00Z;6.9;0.00;6;5.7;261.5
2020-01-08T17:00:00Z;6.2;0.00;5;5.0;258.7
2020-01-08T18:00:00Z;5.9;0.00;5;4.2;256.9
2020-01-08T19:00:00Z;5.7;0.00;5;4.3;241.4
2020-01-08T20:00:00Z;5.7;0.00;7;4.4;233.2
2020-01-08T21:00:00Z;5.7;0.00;7;4.3;234.8
2020-01-08T22:00:00Z;5.3;0.00;4;4.3;228.7
2020-01-08T23:00:00Z;5.0;0.00;4;3.8;234.4
2020-01-09T00:00:00Z;5.5;0.00;7;3.6;234.8
2020-01-09T01:00:00Z;5.7;0.00;7;3.1;203.8
2020-01-09T02:00:00Z;5.4;0.01;8;2.8;191.3
2020-01-09T03:00:00Z;5.5;0.00;8;2.7;175.5
2020-01-09T04:00:00Z;6.0;0.21;8;4.2;160.9
2020-01-09T05:00:00Z;6.8;0.90;8;5.1;151.1
2020-01-09T06:00:00Z;7.4;0.01;8;5.9;158.8
2020-01-09T07:00:00Z;7.9;0.00;8;7.2;159.6
2020-01-09T08:00:00Z;8.5;0.07;8;8.9;174.1
2020-01-09T09:00:00Z;9.3;0.09;8;10.1;191.3
2020-01-09T10:00:00Z;9.7;0.28;8;10.2;199.6
2020-01-09T11:00:00Z;10.1;0.00;8;10.7;206.1
2020-01-09T12:00:00Z;10.2;0.16;8;10.6;210.3
2020-01-09T13:00:00Z;9.9;0.43;8;9.5;212.9
2020-01-09T14:00:00Z;10.0;0.00;8;9.3;215.7
2020-01-09T15:00:00Z;10.1;0.01;8;9.2;216.6
2020-01-09T16:00:00Z;9.9;0.00;8;9.3;221.2
2020-01-09T17:00:00Z;9.6;0.00;8;9.2;225.9
2020-01-09T18:00:00Z;9.6;0.00;8;9.2;223.6
2020-01-09T19:00:00Z;9.5;0.00;8;8.6;225.4
2020-01-09T20:00:00Z;9.1;0.00;7;7.5;231.8
2020-01-09T21:00:00Z;8.6;0.00;8;6.3;224.6
2020-01-09T22:00:00Z;8.3;0.00;8;4.8;214.4
2020-01-09T23:00:00Z;8.7;0.01;8;4.9;207.8
2020-01-10T00:00:00Z;9.0;0.03;8;5.9;215.1
2020-01-10T01:00:00Z;9.3;0.24;8;6.6;212.3
2020-01-10T02:00:00Z;9.2;0.85;8;8.5;240.6
2020-01-10T03:00:00Z;8.5;0.66;8;7.9;237.3
2020-01-10T04:00:00Z;8.3;0.84;8;8.2;234.9
2020-01-10T05:00:00Z;7.9;0.11;8;8.8;233.0
2020-01-10T06:00:00Z;7.0;0.00;5;10.4;238.2
2020-01-10T07:00:00Z;6.6;0.00;7;8.9;245.6
2020-01-10T08:00:00Z;6.7;0.00;8;7.6;239.7
2020-01-10T09:00:00Z;6.9;0.00;8;8.3;235.8
2020-01-10T10:00:00Z;7.0;0.01;8;8.2;273.6
2020-01-10T11:00:00Z;6.6;0.57;8;10.7;331.7
2020-01-10T12:00:00Z;6.8;0.03;7;10.4;334.9
2020-01-10T13:00:00Z;6.7;0.00;7;9.3;332.2
2020-01-10T14:00:00Z;6.5;0.00;7;9.3;329.1
2020-01-10T15:00:00Z;6.3;0.00;5;9.5;330.2
2020-01-10T16:00:00Z;5.9;0.01;6;9.6;335.2
2020-01-10T17:00:00Z;5.7;0.00;5;8.6;334.3
2020-01-10T18:00:00Z;5.4;0.00;1;6.8;334.9
2020-01-10T19:00:00Z;5.5;0.00;1;5.6;316.4
2020-01-10T20:00:00Z;5.3;0.00;0;6.2;313.9
2020-01-10T21:00:00Z;5.3;0.00;1;5.8;304.8
2020-01-10T22:00:00Z;5.2;0.00;1;5.8;294.8
2020-01-10T23:00:00Z;5.1;0.00;1;6.6;284.8
2020-01-11T00:00:00Z;4.9;0.00;1;5.9;272.9
2020-01-11T01:00:00Z;4.6;0.00;1;5.4;265.2
2020-01-11T02:00:00Z;3.9;0.00;0;5.8;238.0
2020-01-11T03:00:00Z;3.5;0.00;4;6.2;228.9
2020-01-11T04:00:00Z;3.2;0.00;5;6.7;223.8
2020-01-11T05:00:00Z;3.2;0.00;4;6.9;212.4
2020-01-11T06:00:00Z;3.3;0.00;4;7.3;213.7
2020-01-11T07:00:00Z;4.2;0.00;7;8.1;216.3
2020-01-11T08:00:00Z;4.7;0.00;6;8.4;208.2
2020-01-11T09:00:00Z;5.1;0.00;4;8.8;208.6
2020-01-11T10:00:00Z;5.4;0.00;4;9.4;201.6
2020-01-11T11:00:00Z;5.6;0.00;4;9.4;201.6
2020-01-11T12:00:00Z;5.9;0.00;4;9.4;203.1
2020-01-11T13:00:00Z;6.1;0.00;4;9.9;204.5
2020-01-11T14:00:00Z;6.3;0.00;4;11.1;209.5
2020-01-11T15:00:00Z;6.2;0.00;5;11.1;209.6
2020-01-11T16:00:00Z;5.8;0.00;4;11.2;211.8
2020-01-11T17:00:00Z;5.3;0.00;5;11.2;214.9
2020-01-11T18:00:00Z;5.4;0.00;7;11.4;215.8
2020-01-11T19:00:00Z;5.5;0.00;4;11.3;211.7
2020-01-11T20:00:00Z;5.2;0.00;2;11.3;213.4
2020-01-11T21:00:00Z;4.8;0.00;0;11.8;211.9
2020-01-11T22:00:00Z;4.8;0.00;1;11.7;216.4
2020-01-11T23:00:00Z;5.0;0.01;4;11.9;218.3
2020-01-12T00:00:00Z;5.3;0.00;5;11.6;220.0
2020-01-12T01:00:00Z;6.1;0.00;6;11.6;216.8
2020-01-12T02:00:00Z;6.0;0.00;8;11.6;218.1
2020-01-12T03:00:00Z;6.5;0.00;8;11.3;218.3
2020-01-12T04:00:00Z;6.6;0.03;8;11.4;219.8
2020-01-12T05:00:00Z;6.6;0.00;8;11.4;219.6
2020-01-12T06:00:00Z;6.1;0.04;7;11.1;217.6
2020-01-12T07:00:00Z;6.1;0.00;8;10.6;214.6
2020-01-12T08:00:00Z;6.1;0.47;8;10.8;213.3
2020-01-12T09:00:00Z;6.0;1.06;8;10.4;212.4
2020-01-12T10:00:00Z;6.0;1.52;8;10.6;211.3
2020-01-12T11:00:00Z;6.0;0.56;8;10.7;212.2
2020-01-12T12:00:00Z;6.2;0.06;8;10.8;213.8
2020-01-12T13:00:00Z;6.2;0.28;8;10.7;212.2
2020-01-12T14:00:00Z;7.1;0.00;7;11.5;221.4
2020-01-12T15:00:00Z;7.3;0.05;7;11.2;226.3
2020-01-12T16:00:00Z;7.2;0.12;7;11.5;240.3
2020-01-12T17:00:00Z;7.0;0.05;7;11.5;246.8
2020-01-12T18:00:00Z;6.6;0.03;6;10.4;248.9
2020-01-12T19:00:00Z;6.5;0.00;8;9.4;242.5
2020-01-12T20:00:00Z;6.5;0.01;8;9.0;281.3
2020-01-12T21:00:00Z;6.3;0.13;6;8.8;278.7
2020-01-12T22:00:00Z;5.8;0.03;3;9.0;265.3
2020-01-12T23:00:00Z;5.7;0.00;4;9.3;254.9
2020-01-13T00:00:00Z;5.6;0.00;2;8.7;253.7
2020-01-13T01:00:00Z;5.1;0.00;2;7.5;238.2
2020-01-13T02:00:00Z;4.7;0.00;2;7.0;230.1
2020-01-13T03:00:00Z;4.6;0.00;5;6.2;221.0
2020-01-13T04:00:00Z;4.3;0.00;5;6.3;210.9
2020-01-13T05:00:00Z;4.1;0.00;4;6.1;209.4
2020-01-13T06:00:00Z;3.9;0.00;5;6.2;208.2
2020-01-13T07:00:00Z;4.5;0.00;3;6.3;206.9
2020-01-13T08:00:00Z;5.1;0.00;2;6.2;207.3
2020-01-13T09:00:00Z;5.6;0.00;2;6.4;207.4
2020-01-13T10:00:00Z;6.2;0.00;1;6.9;207.0
2020-01-13T11:00:00Z;6.6;0.00;6;7.9;209.2
2020-01-13T12:00:00Z;6.8;0.00;7;7.9;206.5
2020-01-13T13:00:00Z;6.9;0.00;7;7.6;201.8
2020-01-13T14:00:00Z;7.1;0.00;4;7.1;196.9
2020-01-13T15:00:00Z;6.7;0.00;3;7.3;192.5
2020-01-13T16:00:00Z;5.7;0.00;1;7.5;186.0
2020-01-13T17:00:00Z;4.8;0.00;2;7.7;173.3
2020-01-13T18:00:00Z;4.8;0.00;5;8.5;167.9
2020-01-13T19:00:00Z;5.2;0.00;6;9.3;167.4
2020-01-13T20:00:00Z;5.8;0.00;8;10.5;168.4
2020-01-13T21:00:00Z;6.4;0.00;8;11.0;173.2
2020-01-13T22:00:00Z;6.8;0.00;8;11.0;176.3
2020-01-13T23:00:00Z;6.8;0.00;8;11.1;180.2
2020-01-14T00:00:00Z;7.2;0.00;8;11.7;182.8
2020-01-14T01:00:00Z;8.0;0.00;8;11.4;185.6
2020-01-14T02:00:00Z;8.6;0.02;8;11.9;188.8
2020-01-14T03:00:00Z;8.8;0.50;8;11.9;191.5
2020-01-14T04:00:00Z;8.8;1.20;8;12.2;193.8
2020-01-14T05:00:00Z;8.9;0.75;8;12.3;199.7
2020-01-14T06:00:00Z;9.0;1.41;8;12.0;207.1
2020-01-14T07:00:00Z;8.6;0.42;8;10.5;215.9
2020-01-14T08:00:00Z;8.4;0.82;8;10.4;223.5
2020-01-14T09:00:00Z;8.4;0.95;6;10.2;230.0
2020-01-14T10:00:00Z;8.6;0.00;2;9.1;221.6
2020-01-14T11:00:00Z;9.0;0.00;2;8.7;221.2
2020-01-14T12:00:00Z;9.2;0.00;4;8.0;216.3
2020-01-14T13:00:00Z;8.8;0.00;7;8.6;215.9
2020-01-14T14:00:00Z;8.8;0.00;8;8.7;202.6
2020-01-14T15:00:00Z;8.8;0.07;8;9.7;198.8
2020-01-14T16:00:00Z;8.6;0.28;8;10.4;193.0
2020-01-14T17:00:00Z;8.6;0.09;8;11.4;189.1
2020-01-14T18:00:00Z;8.6;0.00;8;13.2;196.2
2020-01-14T19:00:00Z;9.0;0.00;8;13.5;199.4
2020-01-14T20:00:00Z;9.3;0.00;7;14.0;203.9
2020-01-14T21:00:00Z;9.6;0.00;7;14.2;207.3
2020-01-14T22:00:00Z;9.6;0.00;6;14.3;210.0
2020-01-14T23:00:00Z;10.1;0.00;8;14.5;212.2
2020-01-15T00:00:00Z;10.4;0.00;8;14.7;213.9
2020-01-15T01:00:00Z;10.3;0.01;8;14.0;212.7
2020-01-15T02:00:00Z;10.1;0.04;8;13.9;215.1
2020-01-15T03:00:00Z;10.3;0.03;8;13.8;214.4
2020-01-15T04:00:00Z;9.8;0.00;8;13.5;215.7
2020-01-15T05:00:00Z;9.6;0.00;8;13.4;214.5
2020-01-15T06:00:00Z;9.7;0.00;7;13.5;213.2
2020-01-15T07:00:00Z;10.5;0.00;7;13.2;213.4
2020-01-15T08:00:00Z;10.9;0.00;8;13.2;212.0
2020-01-15T09:00:00Z;10.9;0.00;8;12.6;208.3
2020-01-15T10:00:00Z;10.7;0.01;8;12.6;207.1
2020-01-15T11:00:00Z;10.6;0.00;8;12.2;207.7
2020-01-15T12:00:00Z;10.5;0.01;8;11.4;208.3
2020-01-15T13:00:00Z;10.6;0.01;8;11.1;210.7
2020-01-15T14:00:00Z;10.4;0.02;8;11.5;213.7
2020-01-15T15:00:00Z;10.0;0.04;8;12.3;216.2
2020-01-15T16:00:00Z;9.1;0.31;8;11.7;235.0
2020-01-15T17:00:00Z;6.8;1.48;8;7.8;272.6
2020-01-15T18:00:00Z;6.3;0.06;7;7.8;250.5
2020-01-15T19:00:00Z;5.6;0.00;0;8.4;246.0
2020-01-15T20:00:00Z;5.5;0.00;1;8.6;234.3
2020-01-15T21:00:00Z;5.5;0.00;1;9.4;235.2
2020-01-15T22:00:00Z;5.3;0.00;1;9.4;235.7
2020-01-15T23:00:00Z;5.3;0.00;1;9.4;231.9
2020-01-16T00:00:00Z;5.3;0.00;0;9.6;228.6
2020-01-16T01:00:00Z;5.8;0.00;1;9.6;232.0
2020-01-16T02:00:00Z;5.7;0.00;0;9.1;229.8
2020-01-16T03:00:00Z;5.5;0.00;0;8.7;227.8
2020-01-16T04:00:00Z;5.3;0.00;0;8.5;222.7
2020-01-16T05:00:00Z;5.0;0.00;0;8.4;221.6
2020-01-16T06:00:00Z;4.7;0.00;0;8.3;218.5
2020-01-16T07:00:00Z;5.1;0.00;0;7.9;214.5
2020-01-16T08:00:00Z;5.6;0.00;3;7.3;211.0
2020-01-16T09:00:00Z;5.9;0.00;4;7.2;204.6
2020-01-16T10:00:00Z;6.6;0.00;4;6.9;203.1
2020-01-16T11:00:00Z;7.2;0.00;3;6.6;197.5
2020-01-16T12:00:00Z;7.6;0.00;4;6.5;196.8
2020-01-16T13:00:00Z;7.7;0.00;4;6.4;187.1
2020-01-16T14:00:00Z;7.6;0.00;6;6.4;177.6
2020-01-16T15:00:00Z;7.5;0.00;1;6.4;169.8
2020-01-16T16:00:00Z;6.5;0.00;3;6.7;164.8
2020-01-16T17:00:00Z;5.6;0.00;3;7.5;160.3
2020-01-16T18:00:00Z;5.7;0.00;4;8.1;164.3
2020-01-16T19:00:00Z;5.8;0.00;2;8.3;165.3
2020-01-16T20:00:00Z;6.0;0.00;2;8.8;165.0
2020-01-16T21:00:00Z;6.1;0.00;3;8.7;166.2
2020-01-16T22:00:00Z;6.2;0.00;3;8.8;169.6
2020-01-16T23:00:00Z;6.3;0.00;4;9.0;168.6
2020-01-17T00:00:00Z;6.6;0.00;4;9.0;172.5
2020-01-17T01:00:00Z;6.6;0.00;4;8.3;172.9
2020-01-17T02:00:00Z;6.8;0.00;4;8.3;175.1
2020-01-17T03:00:00Z;6.9;0.00;4;8.3;175.9
2020-01-17T04:00:00Z;6.9;0.00;4;8.2;176.0
2020-01-17T05:00:00Z;6.7;0.00;4;8.1;171.8
2020-01-17T06:00:00Z;6.4;0.00;1;8.2;170.6
2020-01-17T07:00:00Z;6.7;0.00;3;8.0;168.6
2020-01-17T08:00:00Z;7.3;0.00;3;8.1;174.6
2020-01-17T09:00:00Z;7.9;0.00;3;8.1;180.0
2020-01-17T10:00:00Z;8.6;0.00;4;7.9;185.7
2020-01-17T11:00:00Z;9.1;0.00;4;7.4;189.9
2020-01-17T12:00:00Z;8.9;0.00;8;7.3;194.7
2020-01-17T13:00:00Z;8.5;0.00;8;6.7;200.4
2020-01-17T14:00:00Z;8.3;0.00;8;6.6;206.7
2020-01-17T15:00:00Z;8.2;0.07;8;6.6;207.1
2020-01-17T16:00:00Z;8.1;0.12;8;6.6;208.4
2020-01-17T17:00:00Z;8.0;0.14;8;7.0;211.7
2020-01-17T18:00:00Z;7.7;0.00;8;7.3;220.2
2020-01-17T19:00:00Z;7.0;0.00;5;7.8;219.3
2020-01-17T20:00:00Z;6.8;0.00;5;8.1;219.1
2020-01-17T21:00:00Z;6.5;0.00;5;9.1;218.7
2020-01-17T22:00:00Z;6.1;0.00;8;10.1;222.8
2020-01-17T23:00:00Z;5.8;0.00;8;11.8;232.0
2020-01-18T00:00:00Z;5.3;0.02;4;12.1;253.2
2020-01-18T01:00:00Z;5.0;0.03;6;11.8;249.5
2020-01-18T02:00:00Z;5.1;0.17;3;10.7;246.0
2020-01-18T03:00:00Z;5.0;0.02;3;10.7;246.0
2020-01-18T04:00:00Z;4.7;0.00;1;10.0;233.2
2020-01-18T05:00:00Z;4.2;0.00;1;9.4;225.7
2020-01-18T06:00:00Z;4.0;0.00;3;9.0;223.3
2020-01-18T07:00:00Z;5.0;0.00;3;9.9;226.5
2020-01-18T08:00:00Z;5.4;0.03;7;9.9;235.5
2020-01-18T09:00:00Z;5.7;0.45;8;9.3;240.5
2020-01-18T10:00:00Z;5.5;0.46;8;8.5;244.7
2020-01-18T11:00:00Z;5.4;0.72;7;8.0;242.7
2020-01-18T12:00:00Z;5.4;0.13;8;8.9;250.1
2020-01-18T13:00:00Z;5.5;0.79;8;8.3;259.7
